v_variable,model_desc
v_158,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, Denmark, Finland, France, Germany, Ireland, Japan, Netherlands, New Zealand, Norway, Portugal, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 17 countries analyzed by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938341 - Typ 111)"
v_159,"BASIC MODEL FORM: Ordered logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country.Categorical. Each DV estimated in separate models. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Belgium, Canada, Chile, Croatia, Czechia, Denmark, Finland, France, Germany, Hungary, Iceland, Ireland, Japan, South Korea, Latvia, New Zealand, Norway, Slovakia, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Percentage change in foreign-born stock (1-year), Percentage change in foreign-born stock (10-year), Employment rate, Social spending as a % of GDP, GDP, Gini.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Educational attainment, Household size, Respondent interested in politics.  INTERACTIONS of VARIABLES TESTED: None. (q_10938342 - Typ 111)"
v_160,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996,2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938344 - Typ 111)"
v_161,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years.Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year, country, year.Cross-Classified Model Estimation Method: Ordinary least squares.  ADDITIONAL MODEL SPECIFICATIONS: Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models. Cross-Classified Model  ISSP WAVES INCLUDED: 1990,1996,2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Ethnic fractionalization/Herfindahl index.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Sex, Employment status,  INTERACTIONS of VARIABLES TESTED: None. (q_10938345 - Typ 111)"
v_162,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years. Estimation Method: Ordinary least squares.  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, Denmark, Finland, France, Germany, Ireland, Japan, Netherlands, New Zealand, Norway, Portugal, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 17 countries analyzed by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Ethnic fractionalization/Herfindahl index.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Sex, Employment status,  INTERACTIONS of VARIABLES TESTED: None. (q_10938347 - Typ 111)"
v_163,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP, Socio-cultural proximity scale to immigrants (on average), Ethnic fractionalization/Herfindahl index.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938348 - Typ 111)"
v_164,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 2006, 2016. Countries Included: Australia, Belgium, Canada, Croatia, Czechia, Denmark, France, Germany, Hungary, Ireland, Japan, Latvia, New Zealand, Norway, Poland, Slovakia, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP, Multiculturalism Policy Index (or equivalent), Welfare state regime types.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938349 - Typ 111)"
v_165,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996,2006, 2016. Countries Included: Australia, Canada, Croatia, Czechia, Denmark, France, Germany, Hungary, Ireland, Israel, Japan, Latvia, New Zealand, Norway, Poland, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States, Taiwan.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP, Welfare state regime types.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938350 - Typ 111)"
v_166,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year, country. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 2006, 2016. Countries Included: Australia, Belgium, Canada, Czechia, Denmark, Finland, France, Germany, Hungary, Iceland, Ireland, Japan, South Korea, Latvia, Netherlands, New Zealand, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Change in refugee stock, Social spending as a % of GDP, GDP, Gini, Multiculturalism Policy Index (or equivalent).  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938351 - Typ 111)"
v_167,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Percentage change in foreign-born stock (1-year), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938353 - Typ 111)"
v_168,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country, Multilevel structural equation model with random intercepts, fixed-slopes and unique error variance at each higher level. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938354 - Typ 111)"
v_169,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, Denmark, Finland, France, Germany, Ireland, Japan, Netherlands, New Zealand, Norway, Portugal, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 17 countries analyzed by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938355 - Typ 111)"
v_170,"BASIC MODEL FORM: Ordered logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.Employs survey weighting as provided by the ISSP.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996,2006, 2016. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Percentage change in foreign-born stock (10-year), Employment rate, Social spending as a % of GDP, GDP, Gini.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938356 - Typ 111)"
v_171,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year, country. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.Bootstraps the small number of countries to obtain robust estimates (e.g., leave-one-out or jackknife estimator).  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Denmark, Finland, France, Germany, Ireland, New Zealand, Norway, Portugal, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938357 - Typ 111)"
v_172,"BASIC MODEL FORM: Linear regression.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country, Multilevel structural equation model with random intercepts, fixed-slopes and unique error variance at each higher level. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale.  ISSP WAVES INCLUDED: 2016. Countries Included: Australia, Belgium, Chile, Czechia, Denmark, Finland, France, Germany, Hungary, Iceland, Israel, Japan, South Korea, Latvia, Lithuania, Norway, Slovakia, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States, Turkey.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Percentage change in foreign-born stock (10-year), Employment rate, Social spending as a % of GDP, Welfare state regime types.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment, Marital status, Household size, Urban/rural.  INTERACTIONS of VARIABLES TESTED: None. (q_10938358 - Typ 111)"
v_173,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: year. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models. Analyzes regions of Germany instead of countries.  ISSP WAVES INCLUDED: only 2016. Countries Included: only Germany analyzed by Federal States within Germany.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Percentage change in foreign-born stock (1-year), Unemployment rate, Social spending as a % of GDP, Stock of non-Western immigrants.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938359 - Typ 111)"
v_174,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, France, Germany, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: None. (q_10938360 - Typ 111)"
v_175,"BASIC MODEL FORM: Ordered logistic regression. Engages in multiple imputation.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, France, Germany, Ireland, Japan, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes only the original 13 countries used by Brady & Finnigan.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Sex, Employment status, Income, Educational attainment, Subjective left-right self-placement.  INTERACTIONS of VARIABLES TESTED: None. (q_10938361 - Typ 111)"
v_176,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Denmark, Finland, France, Western Germany, Ireland, Japan, Netherlands, New Zealand, Norway, Portugal, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP, Socio-cultural proximity scale to immigrants (on average), Stock of non-Western immigrants.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Educational attainment, Marital status, Household size, Urban/rural.  INTERACTIONS of VARIABLES TESTED: None. (q_10938362 - Typ 111)"
v_177,"BASIC MODEL FORM: Ordered logistic regression.  DETAILED MODEL DESCRIPTION: Multilevel random-effects model employed, defined as having random intercepts, fixed-slopes and unique error variance at each higher level. Heirarchical Levels: country-year. Estimation Method: Bayesian.  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006. Countries Included: Australia, Canada, Chile, Croatia, Czechia, Denmark, Finland, France, Western Germany, Eastern Germany, Hungary, Ireland, Israel, Italy, Japan, South Korea, Latvia, Netherlands, New Zealand, Norway, Philippines, Poland, Portugal, Russia, Slovakia, Slovenia, Spain, Sweden, Switzerland, Great Britain, Northern Ireland, United States, South Africa, Taiwan, Uruguay, Venezuela.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment, Marital status, Household size, Religious attendance, Urban/rural.  INTERACTIONS of VARIABLES TESTED: None. (q_10938363 - Typ 111)"
v_178,"BASIC MODEL FORM: Linear regression.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years.Structural equation model. Estimation Method: Maximum-likelihood (linear).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Single DV estimated as a scale. Structural equation model.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Czechia, France, Germany, Hungary, Japan, Latvia, New Zealand, Norway, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Percentage change in foreign-born stock (1-year), Employment rate, GDP, Multiculturalism Policy Index (or equivalent).  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Educational attainment.  INTERACTIONS of VARIABLES TESTED: Net migration*Unemployment, Foreign-born stock*Unemployment. (q_10938364 - Typ 111)"
v_179,"BASIC MODEL FORM: Ordered logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Categorical. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Czechia, France, Germany, Ireland, Japan, Latvia, New Zealand, Norway, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE:  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Unemployment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: Net migration*Individual educational attainment, Net migration*Unemployment, Foreign-born stock*Individual educational attainment, Foreign-born stock*Unemployment. (q_10938365 - Typ 111)"
v_180,"BASIC MODEL FORM: Linear regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' model similar to that of Brady & Finnigan with the addition of robust clustered standard errors. Includes dummy variables for countries and years. Estimation Method: Ordinary least squares.  ADDITIONAL MODEL SPECIFICATIONS: Includes some form of robust clustering.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Linear. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Chile, Czechia, Denmark, Finland, France, Germany, Hungary, Ireland, Israel, Japan, South Korea, Latvia, New Zealand, Norway, Poland, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: Immigration measures squared. (q_10938366 - Typ 111)"
v_181,"BASIC MODEL FORM: Logistic regression. Includes listwise deletion of missing values.  DETAILED MODEL DESCRIPTION: A 'two-way fixed-effects' similar to that of Brady & Finnigan. Includes dummy variables for countries and years. Estimation Method: Maximum-likelihood (binomial/categorical).  ADDITIONAL MODEL SPECIFICATIONS: None.  MEASUREMENT of the SIX DEPENDENT VARIABLES: Dichotomized. Each DV estimated in separate models.  ISSP WAVES INCLUDED: 1996, 2006, 2016. Countries Included: Australia, Canada, Chile, Czechia, Denmark, Finland, France, Germany, Hungary, Ireland, Israel, Japan, South Korea, Latvia, New Zealand, Norway, Philippines, Poland, Slovenia, Spain, Sweden, Switzerland, Great Britain, United States.  SPECIAL FEATURES of the COUNTRY SAMPLE: Includes Eastern Europe.Includes all available countries with relevant measures.  COUNTRY-LEVEL INDEPENDENT VARIABLES TESTED: Stock of foreign-born, Net migration (over a 1-year period), Employment rate, Social spending as a % of GDP.  INDIVIDUAL-LEVEL INDEPENDENT VARIABLES TESTED: Age, Age-squared, Sex, Employment status, Income, Educational attainment.  INTERACTIONS of VARIABLES TESTED: Net migration*Individual educational attainment, Net migration*Individual age, Net migration*Sex, Foreign-born stock*Individual educational attainment, Foreign-born stock*Individual age, Foreign-born stock*Sex. (q_10938367 - Typ 111)"
